job_id,skill_id,importance,importance_label
JOB000001,SK016,1.0,Must-Have
JOB000001,SK017,1.0,Must-Have
JOB000001,SK013,1.0,Must-Have
JOB000001,SK001,1.0,Must-Have
JOB000001,SK019,1.0,Must-Have
JOB000001,SK018,1.0,Must-Have
JOB000001,SK003,1.0,Must-Have
JOB000001,SK021,0.65,Good-to-Have
JOB000001,SK020,0.65,Good-to-Have
JOB000001,SK014,0.65,Good-to-Have
JOB000001,SK025,0.65,Good-to-Have
JOB000001,SK026,0.35,Optional
JOB000001,SK052,0.35,Optional
JOB000001,SK058,0.35,Optional
JOB000001,SK024,0.35,Optional
JOB000002,SK067,1.0,Must-Have
JOB000002,SK023,1.0,Must-Have
JOB000002,SK001,1.0,Must-Have
JOB000002,SK026,1.0,Must-Have
JOB000002,SK018,1.0,Must-Have
JOB000002,SK019,1.0,Must-Have
JOB000002,SK060,0.65,Good-to-Have
JOB000002,SK068,0.65,Good-to-Have
JOB000002,SK053,0.35,Optional
JOB000002,SK054,0.35,Optional
JOB000003,SK067,1.0,Must-Have
JOB000003,SK018,1.0,Must-Have
JOB000003,SK026,1.0,Must-Have
JOB000003,SK052,1.0,Must-Have
JOB000003,SK001,1.0,Must-Have
JOB000003,SK023,1.0,Must-Have
JOB000003,SK019,1.0,Must-Have
JOB000003,SK068,0.65,Good-to-Have
JOB000003,SK060,0.65,Good-to-Have
JOB000003,SK058,0.65,Good-to-Have
JOB000003,SK051,0.65,Good-to-Have
JOB000003,SK022,0.65,Good-to-Have
JOB000003,SK054,0.35,Optional
JOB000004,SK053,1.0,Must-Have
JOB000004,SK001,1.0,Must-Have
JOB000004,SK052,1.0,Must-Have
JOB000004,SK057,1.0,Must-Have
JOB000004,SK058,1.0,Must-Have
JOB000004,SK026,0.65,Good-to-Have
JOB000004,SK060,0.65,Good-to-Have
JOB000004,SK059,0.65,Good-to-Have
JOB000004,SK050,0.35,Optional
JOB000004,SK040,0.35,Optional
JOB000004,SK014,0.35,Optional
JOB000005,SK037,1.0,Must-Have
