job_id,job_title,role_category,company,location,experience_tier,min_experience_years,salary_lpa,employment_type,posting_date,required_skills,description
JOB000001,Senior Level Data Scientist,Data Scientist,Salesforce,Remote (Global),Senior Level,5.5,29.84,Full-time,2025-03-07,Exploratory Data Analysis; Pandas & NumPy; Probability & Statistics; Python; Supervised Learning; Scikit-Learn; SQL; Feature Engineering; Unsupervised Learning; Hypothesis Testing & A/B Testing; Neural Networks Fundamentals; PyTorch; Docker & Containerization; MLflow & Experiment Tracking; Time Series Forecasting,"We are looking for a talented Senior Level Data Scientist to join our team at Salesforce (Remote (Global)). The ideal candidate will have 5.5+ years of proven industry experience and strong proficiency in Exploratory Data Analysis; Pandas & NumPy; Probability & Statistics; Python; Supervised Learning; Scikit-Learn; SQL; Feature Engineering; Unsupervised Learning; Hypothesis Testing & A/B Testing; Neural Networks Fundamentals; PyTorch; Docker & Containerization; MLflow & Experiment Tracking; Time Series Forecasting. Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000002,Senior Level Machine Learning Engineer,Machine Learning Engineer,Walmart Global Tech,"Gurgaon / Delhi NCR, India",Senior Level,5.9,41.33,Full-time,2025-06-06,"Data Structures & Algorithms; Model Evaluation & Cross-Validation; Python; PyTorch; Scikit-Learn; Supervised Learning; Model Serving & FastAPI; Git & GitHub; Kubernetes; AWS (S3, EC2, Lambda, SageMaker)","We are looking for a talented Senior Level Machine Learning Engineer to join our team at Walmart Global Tech (Gurgaon / Delhi NCR, India). The ideal candidate will have 5.9+ years of proven industry experience and strong proficiency in Data Structures & Algorithms; Model Evaluation & Cross-Validation; Python; PyTorch; Scikit-Learn; Supervised Learning; Model Serving & FastAPI; Git & GitHub; Kubernetes; AWS (S3, EC2, Lambda, SageMaker). Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000003,Entry Level Machine Learning Engineer,Machine Learning Engineer,Infosys Cobalt,"Seattle, WA, USA",Entry Level,1.0,6.69,Full-time,2025-05-09,"Data Structures & Algorithms; Scikit-Learn; PyTorch; Docker & Containerization; Python; Model Evaluation & Cross-Validation; Supervised Learning; Git & GitHub; Model Serving & FastAPI; MLflow & Experiment Tracking; Linux & Bash; XGBoost & LightGBM; AWS (S3, EC2, Lambda, SageMaker)","We are looking for a talented Entry Level Machine Learning Engineer to join our team at Infosys Cobalt (Seattle, WA, USA). The ideal candidate will have 1.0+ years of proven industry experience and strong proficiency in Data Structures & Algorithms; Scikit-Learn; PyTorch; Docker & Containerization; Python; Model Evaluation & Cross-Validation; Supervised Learning; Git & GitHub; Model Serving & FastAPI; MLflow & Experiment Tracking; Linux & Bash; XGBoost & LightGBM; AWS (S3, EC2, Lambda, SageMaker). Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000004,Entry Level MLOps Engineer,MLOps Engineer,Google,"Hyderabad, India",Entry Level,1.1,11.88,Full-time,2025-03-02,Kubernetes; Python; Docker & Containerization; CI/CD Pipelines (GitHub Actions); MLflow & Experiment Tracking; PyTorch; Model Serving & FastAPI; DVC (Data Version Control); Database Indexing & Query Tuning; Apache Kafka; Hypothesis Testing & A/B Testing,"We are looking for a talented Entry Level MLOps Engineer to join our team at Google (Hyderabad, India). The ideal candidate will have 1.1+ years of proven industry experience and strong proficiency in Kubernetes; Python; Docker & Containerization; CI/CD Pipelines (GitHub Actions); MLflow & Experiment Tracking; PyTorch; Model Serving & FastAPI; DVC (Data Version Control); Database Indexing & Query Tuning; Apache Kafka; Hypothesis Testing & A/B Testing. Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000005,Mid Level Cloud Data Architect,Cloud Data Architect,TCS Innovation Lab,"Bangalore, India",Mid Level,3.3,20.54,Full-time,2025-04-11,"Data Warehousing & Modeling; SQL; System Design & Distributed Systems; ETL / ELT Pipelines; Snowflake; AWS (S3, EC2, Lambda, SageMaker); Google Cloud Platform (GCP & BigQuery); Databricks; Database Indexing & Query Tuning; Azure (ADF, Databricks, Azure ML); Apache Spark / PySpark; Stakeholder Communication; Kubernetes; DBT (Data Build Tool); Apache Kafka","We are looking for a talented Mid Level Cloud Data Architect to join our team at TCS Innovation Lab (Bangalore, India). The ideal candidate will have 3.3+ years of proven industry experience and strong proficiency in Data Warehousing & Modeling; SQL; System Design & Distributed Systems; ETL / ELT Pipelines; Snowflake; AWS (S3, EC2, Lambda, SageMaker); Google Cloud Platform (GCP & BigQuery); Databricks; Database Indexing & Query Tuning; Azure (ADF, Databricks, Azure ML); Apache Spark / PySpark; Stakeholder Communication; Kubernetes; DBT (Data Build Tool); Apache Kafka. Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000006,Entry Level Data Engineer,Data Engineer,Razorpay,"Bangalore, India",Entry Level,1.0,8.14,Full-time,2025-06-18,"ETL / ELT Pipelines; Data Warehousing & Modeling; Apache Spark / PySpark; Python; PostgreSQL / MySQL; SQL; Databricks; Snowflake; Apache Airflow; Database Indexing & Query Tuning; Apache Kafka; AWS (S3, EC2, Lambda, SageMaker); DBT (Data Build Tool); NoSQL & MongoDB; Large Language Models (LLMs)","We are looking for a talented Entry Level Data Engineer to join our team at Razorpay (Bangalore, India). The ideal candidate will have 1.0+ years of proven industry experience and strong proficiency in ETL / ELT Pipelines; Data Warehousing & Modeling; Apache Spark / PySpark; Python; PostgreSQL / MySQL; SQL; Databricks; Snowflake; Apache Airflow; Database Indexing & Query Tuning; Apache Kafka; AWS (S3, EC2, Lambda, SageMaker); DBT (Data Build Tool); NoSQL & MongoDB; Large Language Models (LLMs). Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000007,Senior Level NLP Engineer,NLP Engineer,Morgan Stanley,"Hyderabad, India",Senior Level,6.6,27.37,Full-time,2025-07-10,Scikit-Learn; Natural Language Processing (NLP); Transformers & Attention Mechanisms; Python; PyTorch; Large Language Models (LLMs); Vector Databases (Chroma/Pinecone/Milvus); Prompt Engineering & Fine-Tuning; Retrieval-Augmented Generation (RAG); Exploratory Data Analysis; Model Serving & FastAPI; Docker & Containerization,"We are looking for a talented Senior Level NLP Engineer to join our team at Morgan Stanley (Hyderabad, India). The ideal candidate will have 6.6+ years of proven industry experience and strong proficiency in Scikit-Learn; Natural Language Processing (NLP); Transformers & Attention Mechanisms; Python; PyTorch; Large Language Models (LLMs); Vector Databases (Chroma/Pinecone/Milvus); Prompt Engineering & Fine-Tuning; Retrieval-Augmented Generation (RAG); Exploratory Data Analysis; Model Serving & FastAPI; Docker & Containerization. Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000008,Entry Level AI Research Scientist,AI Research Scientist,ServiceNow,"Hyderabad, India",Entry Level,1.3,10.57,Full-time,2025-01-10,Python; Probability & Statistics; PyTorch; Linear Algebra; Research Paper Implementation; Neural Networks Fundamentals; Large Language Models (LLMs); Convolutional Neural Networks (CNN); Computer Vision (OpenCV); C++; Natural Language Processing (NLP),"We are looking for a talented Entry Level AI Research Scientist to join our team at ServiceNow (Hyderabad, India). The ideal candidate will have 1.3+ years of proven industry experience and strong proficiency in Python; Probability & Statistics; PyTorch; Linear Algebra; Research Paper Implementation; Neural Networks Fundamentals; Large Language Models (LLMs); Convolutional Neural Networks (CNN); Computer Vision (OpenCV); C++; Natural Language Processing (NLP). Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000009,Mid Level Cloud Data Architect,Cloud Data Architect,ServiceNow,"London, UK",Mid Level,4.0,21.76,Hybrid Full-time,2025-04-17,"AWS (S3, EC2, Lambda, SageMaker); Data Warehousing & Modeling; System Design & Distributed Systems; ETL / ELT Pipelines; Snowflake; Databricks; Google Cloud Platform (GCP & BigQuery); Database Indexing & Query Tuning; Apache Spark / PySpark; Apache Kafka; DBT (Data Build Tool)","We are looking for a talented Mid Level Cloud Data Architect to join our team at ServiceNow (London, UK). The ideal candidate will have 4.0+ years of proven industry experience and strong proficiency in AWS (S3, EC2, Lambda, SageMaker); Data Warehousing & Modeling; System Design & Distributed Systems; ETL / ELT Pipelines; Snowflake; Databricks; Google Cloud Platform (GCP & BigQuery); Database Indexing & Query Tuning; Apache Spark / PySpark; Apache Kafka; DBT (Data Build Tool). Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000010,Entry Level Data Scientist,Data Scientist,Google,Remote (India),Entry Level,0.8,8.77,Full-time,2025-05-14,"SQL; Supervised Learning; Scikit-Learn; Exploratory Data Analysis; Pandas & NumPy; Python; Probability & Statistics; Neural Networks Fundamentals; XGBoost & LightGBM; PyTorch; Docker & Containerization; MLflow & Experiment Tracking; Time Series Forecasting; AWS (S3, EC2, Lambda, SageMaker); Transformers & Attention Mechanisms","We are looking for a talented Entry Level Data Scientist to join our team at Google (Remote (India)). The ideal candidate will have 0.8+ years of proven industry experience and strong proficiency in SQL; Supervised Learning; Scikit-Learn; Exploratory Data Analysis; Pandas & NumPy; Python; Probability & Statistics; Neural Networks Fundamentals; XGBoost & LightGBM; PyTorch; Docker & Containerization; MLflow & Experiment Tracking; Time Series Forecasting; AWS (S3, EC2, Lambda, SageMaker); Transformers & Attention Mechanisms. Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000011,Senior Level MLOps Engineer,MLOps Engineer,Atlassian,Remote (India),Senior Level,7.4,46.66,Full-time,2025-08-04,Kubernetes; Linux & Bash; CI/CD Pipelines (GitHub Actions); MLflow & Experiment Tracking; Python; Model Serving & FastAPI; Scikit-Learn; DVC (Data Version Control); Apache Kafka,"We are looking for a talented Senior Level MLOps Engineer to join our team at Atlassian (Remote (India)). The ideal candidate will have 7.4+ years of proven industry experience and strong proficiency in Kubernetes; Linux & Bash; CI/CD Pipelines (GitHub Actions); MLflow & Experiment Tracking; Python; Model Serving & FastAPI; Scikit-Learn; DVC (Data Version Control); Apache Kafka. Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000012,Senior Level MLOps Engineer,MLOps Engineer,TCS Innovation Lab,"Gurgaon / Delhi NCR, India",Senior Level,6.2,42.08,Full-time,2025-10-01,"CI/CD Pipelines (GitHub Actions); Python; MLflow & Experiment Tracking; Linux & Bash; Kubernetes; Git & GitHub; Scikit-Learn; Model Serving & FastAPI; AWS (S3, EC2, Lambda, SageMaker); PyTorch; Database Indexing & Query Tuning; Apache Kafka","We are looking for a talented Senior Level MLOps Engineer to join our team at TCS Innovation Lab (Gurgaon / Delhi NCR, India). The ideal candidate will have 6.2+ years of proven industry experience and strong proficiency in CI/CD Pipelines (GitHub Actions); Python; MLflow & Experiment Tracking; Linux & Bash; Kubernetes; Git & GitHub; Scikit-Learn; Model Serving & FastAPI; AWS (S3, EC2, Lambda, SageMaker); PyTorch; Database Indexing & Query Tuning; Apache Kafka. Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000013,Lead / Architect Machine Learning Engineer,Machine Learning Engineer,Razorpay,"London, UK",Lead / Architect,9.7,70.66,Full-time,2026-07-04,"Python; PyTorch; Scikit-Learn; Supervised Learning; Model Evaluation & Cross-Validation; Docker & Containerization; MLflow & Experiment Tracking; Model Serving & FastAPI; Linux & Bash; XGBoost & LightGBM; Neural Networks Fundamentals; Git & GitHub; AWS (S3, EC2, Lambda, SageMaker); Transformers & Attention Mechanisms; Kubernetes; CI/CD Pipelines (GitHub Actions); Large Language Models (LLMs)","We are looking for a talented Lead / Architect Machine Learning Engineer to join our team at Razorpay (London, UK). The ideal candidate will have 9.7+ years of proven industry experience and strong proficiency in Python; PyTorch; Scikit-Learn; Supervised Learning; Model Evaluation & Cross-Validation; Docker & Containerization; MLflow & Experiment Tracking; Model Serving & FastAPI; Linux & Bash; XGBoost & LightGBM; Neural Networks Fundamentals; Git & GitHub; AWS (S3, EC2, Lambda, SageMaker); Transformers & Attention Mechanisms; Kubernetes; CI/CD Pipelines (GitHub Actions); Large Language Models (LLMs). Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000014,Mid Level NLP Engineer,NLP Engineer,Netflix,Remote (India),Mid Level,4.8,24.32,Full-time,2026-03-18,Hugging Face Ecosystem; PyTorch; Python; Scikit-Learn; Natural Language Processing (NLP); Transformers & Attention Mechanisms; Prompt Engineering & Fine-Tuning; Retrieval-Augmented Generation (RAG); Vector Databases (Chroma/Pinecone/Milvus); Large Language Models (LLMs); Docker & Containerization; MLflow & Experiment Tracking,"We are looking for a talented Mid Level NLP Engineer to join our team at Netflix (Remote (India)). The ideal candidate will have 4.8+ years of proven industry experience and strong proficiency in Hugging Face Ecosystem; PyTorch; Python; Scikit-Learn; Natural Language Processing (NLP); Transformers & Attention Mechanisms; Prompt Engineering & Fine-Tuning; Retrieval-Augmented Generation (RAG); Vector Databases (Chroma/Pinecone/Milvus); Large Language Models (LLMs); Docker & Containerization; MLflow & Experiment Tracking. Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000015,Mid Level AI Research Scientist,AI Research Scientist,Databricks,Remote (Global),Mid Level,4.7,22.62,Contract,2026-07-16,Linear Algebra; PyTorch; Multivariate Calculus; Research Paper Implementation; Neural Networks Fundamentals; Probability & Statistics; Python; Scikit-Learn; Recurrent Neural Networks (RNN/LSTM); Convolutional Neural Networks (CNN); Hugging Face Ecosystem; Computer Vision (OpenCV),"We are looking for a talented Mid Level AI Research Scientist to join our team at Databricks (Remote (Global)). The ideal candidate will have 4.7+ years of proven industry experience and strong proficiency in Linear Algebra; PyTorch; Multivariate Calculus; Research Paper Implementation; Neural Networks Fundamentals; Probability & Statistics; Python; Scikit-Learn; Recurrent Neural Networks (RNN/LSTM); Convolutional Neural Networks (CNN); Hugging Face Ecosystem; Computer Vision (OpenCV). Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000016,Mid Level Cloud Data Architect,Cloud Data Architect,Uber,"London, UK",Mid Level,2.3,27.33,Full-time,2025-11-14,"SQL; Data Warehousing & Modeling; System Design & Distributed Systems; Snowflake; ETL / ELT Pipelines; Apache Spark / PySpark; Database Indexing & Query Tuning; Docker & Containerization; DBT (Data Build Tool); Stakeholder Communication; Apache Kafka; Kubernetes; Azure (ADF, Databricks, Azure ML)","We are looking for a talented Mid Level Cloud Data Architect to join our team at Uber (London, UK). The ideal candidate will have 2.3+ years of proven industry experience and strong proficiency in SQL; Data Warehousing & Modeling; System Design & Distributed Systems; Snowflake; ETL / ELT Pipelines; Apache Spark / PySpark; Database Indexing & Query Tuning; Docker & Containerization; DBT (Data Build Tool); Stakeholder Communication; Apache Kafka; Kubernetes; Azure (ADF, Databricks, Azure ML). Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000017,Senior Level Data Scientist,Data Scientist,Infosys Cobalt,Remote (Global),Senior Level,7.6,47.25,Full-time,2025-08-13,Python; Exploratory Data Analysis; SQL; Probability & Statistics; Supervised Learning; Scikit-Learn; Pandas & NumPy; Matplotlib & Seaborn; Neural Networks Fundamentals; Unsupervised Learning; XGBoost & LightGBM; Hypothesis Testing & A/B Testing; Feature Engineering; MLflow & Experiment Tracking; Time Series Forecasting,"We are looking for a talented Senior Level Data Scientist to join our team at Infosys Cobalt (Remote (Global)). The ideal candidate will have 7.6+ years of proven industry experience and strong proficiency in Python; Exploratory Data Analysis; SQL; Probability & Statistics; Supervised Learning; Scikit-Learn; Pandas & NumPy; Matplotlib & Seaborn; Neural Networks Fundamentals; Unsupervised Learning; XGBoost & LightGBM; Hypothesis Testing & A/B Testing; Feature Engineering; MLflow & Experiment Tracking; Time Series Forecasting. Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000018,Senior Level Data Engineer,Data Engineer,Goldman Sachs,"London, UK",Senior Level,5.8,44.66,Full-time,2025-09-02,Apache Spark / PySpark; ETL / ELT Pipelines; Python; Data Warehousing & Modeling; PostgreSQL / MySQL; Docker & Containerization; Apache Airflow; Snowflake; Git & GitHub; NoSQL & MongoDB; DBT (Data Build Tool),"We are looking for a talented Senior Level Data Engineer to join our team at Goldman Sachs (London, UK). The ideal candidate will have 5.8+ years of proven industry experience and strong proficiency in Apache Spark / PySpark; ETL / ELT Pipelines; Python; Data Warehousing & Modeling; PostgreSQL / MySQL; Docker & Containerization; Apache Airflow; Snowflake; Git & GitHub; NoSQL & MongoDB; DBT (Data Build Tool). Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000019,Mid Level Machine Learning Engineer,Machine Learning Engineer,Microsoft,"Gurgaon / Delhi NCR, India",Mid Level,3.0,20.52,Full-time,2026-03-07,Model Evaluation & Cross-Validation; Data Structures & Algorithms; Docker & Containerization; Supervised Learning; Python; Scikit-Learn; MLflow & Experiment Tracking; Git & GitHub; XGBoost & LightGBM; Linux & Bash; Transformers & Attention Mechanisms; Large Language Models (LLMs),"We are looking for a talented Mid Level Machine Learning Engineer to join our team at Microsoft (Gurgaon / Delhi NCR, India). The ideal candidate will have 3.0+ years of proven industry experience and strong proficiency in Model Evaluation & Cross-Validation; Data Structures & Algorithms; Docker & Containerization; Supervised Learning; Python; Scikit-Learn; MLflow & Experiment Tracking; Git & GitHub; XGBoost & LightGBM; Linux & Bash; Transformers & Attention Mechanisms; Large Language Models (LLMs). Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000020,Mid Level AI Research Scientist,AI Research Scientist,NVIDIA,"San Francisco, CA, USA",Mid Level,4.0,19.66,Hybrid Full-time,2025-05-11,Multivariate Calculus; Probability & Statistics; Neural Networks Fundamentals; Python; Research Paper Implementation; PyTorch; Recurrent Neural Networks (RNN/LSTM); Large Language Models (LLMs); Transformers & Attention Mechanisms; C++; Computer Vision (OpenCV); Hugging Face Ecosystem,"We are looking for a talented Mid Level AI Research Scientist to join our team at NVIDIA (San Francisco, CA, USA). The ideal candidate will have 4.0+ years of proven industry experience and strong proficiency in Multivariate Calculus; Probability & Statistics; Neural Networks Fundamentals; Python; Research Paper Implementation; PyTorch; Recurrent Neural Networks (RNN/LSTM); Large Language Models (LLMs); Transformers & Attention Mechanisms; C++; Computer Vision (OpenCV); Hugging Face Ecosystem. Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000021,Senior Level MLOps Engineer,MLOps Engineer,Cisco Systems,Remote (Global),Senior Level,6.1,44.05,Contract,2025-09-16,"Python; Linux & Bash; MLflow & Experiment Tracking; Docker & Containerization; CI/CD Pipelines (GitHub Actions); Kubernetes; AWS (S3, EC2, Lambda, SageMaker); Model Serving & FastAPI; Apache Airflow; System Design & Distributed Systems; Scikit-Learn","We are looking for a talented Senior Level MLOps Engineer to join our team at Cisco Systems (Remote (Global)). The ideal candidate will have 6.1+ years of proven industry experience and strong proficiency in Python; Linux & Bash; MLflow & Experiment Tracking; Docker & Containerization; CI/CD Pipelines (GitHub Actions); Kubernetes; AWS (S3, EC2, Lambda, SageMaker); Model Serving & FastAPI; Apache Airflow; System Design & Distributed Systems; Scikit-Learn. Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000022,Mid Level Backend Software Engineer,Backend Software Engineer,Intel Labs,"Mumbai, India",Mid Level,3.7,17.05,Full-time,2026-01-13,SQL; PostgreSQL / MySQL; Python; RESTful API Design; Data Structures & Algorithms; System Design & Distributed Systems; Redis & Caching; Docker & Containerization; Model Serving & FastAPI; Java,"We are looking for a talented Mid Level Backend Software Engineer to join our team at Intel Labs (Mumbai, India). The ideal candidate will have 3.7+ years of proven industry experience and strong proficiency in SQL; PostgreSQL / MySQL; Python; RESTful API Design; Data Structures & Algorithms; System Design & Distributed Systems; Redis & Caching; Docker & Containerization; Model Serving & FastAPI; Java. Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000023,Entry Level Cloud Data Architect,Cloud Data Architect,Salesforce,"New York, NY, USA",Entry Level,1.4,9.02,Full-time,2025-05-04,"AWS (S3, EC2, Lambda, SageMaker); System Design & Distributed Systems; Snowflake; ETL / ELT Pipelines; SQL; Database Indexing & Query Tuning; Databricks; DBT (Data Build Tool)","We are looking for a talented Entry Level Cloud Data Architect to join our team at Salesforce (New York, NY, USA). The ideal candidate will have 1.4+ years of proven industry experience and strong proficiency in AWS (S3, EC2, Lambda, SageMaker); System Design & Distributed Systems; Snowflake; ETL / ELT Pipelines; SQL; Database Indexing & Query Tuning; Databricks; DBT (Data Build Tool). Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
JOB000024,Mid Level Machine Learning Engineer,Machine Learning Engineer,JPMorgan Chase,Singapore,Mid Level,3.1,26.48,Full-time,2025-06-06,Data Structures & Algorithms; Model Evaluation & Cross-Validation; Docker & Containerization; Supervised Learning; Scikit-Learn; PyTorch; Python; Neural Networks Fundamentals; Model Serving & FastAPI; MLflow & Experiment Tracking; Large Language Models (LLMs); CI/CD Pipelines (GitHub Actions),"We are looking for a talented Mid Level Machine Learning Engineer to join our team at JPMorgan Chase (Singapore). The ideal candidate will have 3.1+ years of proven industry experience and strong proficiency in Data Structures & Algorithms; Model Evaluation & Cross-Validation; Docker & Containerization; Supervised Learning; Scikit-Learn; PyTorch; Python; Neural Networks Fundamentals; Model Serving & FastAPI; MLflow & Experiment Tracking; Large Language Models (LLMs); CI/CD Pipelines (GitHub Actions). Key duties involve architecting scalable systems, driving analytical and ML initiatives, and collaborating across cross-functional teams."
