resource_id,skill_id,skill_name,title,platform,resource_type,difficulty,duration_hours,url,prerequisite
RES0001,SK001,Python,Python for Everybody Specialization,Coursera,Specialization,Beginner,40,https://www.coursera.org/specializations/python,
RES0002,SK001,Python,Complete Python Bootcamp from Zero to Hero,Udemy,Course,Beginner,22,https://www.udemy.com/course/complete-python-bootcamp/,
RES0003,SK001,Python,Official Python 3 Documentation & Tutorial,Official Docs,Documentation,Intermediate,15,https://docs.python.org/3/tutorial/,
RES0004,SK002,R,R Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,10,https://www.google.com/search?q=R+course,
RES0005,SK002,R,R Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=R+documentation,R
RES0006,SK003,SQL,SQL for Data Science,Coursera,Course,Beginner,20,https://www.coursera.org/learn/sql-for-data-science,
RES0007,SK003,SQL,Mode Analytics SQL Tutorial for Beginners & Advanced,Interactive Tutorial,Interactive Tutorial,Beginner,12,https://mode.com/sql-tutorial/,
RES0008,SK003,SQL,PostgreSQL High Performance & Indexing Guide,Official Docs,Documentation,Advanced,15,https://www.postgresql.org/docs/,SQL
RES0009,SK004,Java,Java Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,20,https://www.google.com/search?q=Java+course,
RES0010,SK004,Java,Java Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=Java+documentation,Java
RES0011,SK005,C++,C++ Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,15,https://www.google.com/search?q=C+++course,
RES0012,SK005,C++,C++ Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=C+++documentation,C++
RES0013,SK006,Scala,Scala Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,10,https://www.google.com/search?q=Scala+course,
RES0014,SK006,Scala,Scala Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Scala+documentation,Scala
RES0015,SK007,Bash/Shell Scripting,Bash/Shell Scripting Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,10,https://www.google.com/search?q=Bash/Shell Scripting+course,
RES0016,SK007,Bash/Shell Scripting,Bash/Shell Scripting Official Documentation & Reference,Official Documentation,Documentation,Advanced,16,https://www.google.com/search?q=Bash/Shell Scripting+documentation,Bash/Shell Scripting
RES0017,SK008,JavaScript,JavaScript Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,25,https://www.google.com/search?q=JavaScript+course,
RES0018,SK008,JavaScript,JavaScript Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=JavaScript+documentation,JavaScript
RES0019,SK009,TypeScript,TypeScript Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,10,https://www.google.com/search?q=TypeScript+course,
RES0020,SK009,TypeScript,TypeScript Official Documentation & Reference,Official Documentation,Documentation,Advanced,8,https://www.google.com/search?q=TypeScript+documentation,TypeScript
RES0021,SK010,Go,Go Comprehensive Masterclass & Projects,Coursera / freeCodeCamp,Course,Intermediate,15,https://www.google.com/search?q=Go+course,
